food_number,food_name,cal_per_hundred
6047,（かぼちゃ類）　日本かぼちゃ　果実　ゆで　　,60
6048,（かぼちゃ類）　西洋かぼちゃ　果実　生　　,91
6049,（かぼちゃ類）　西洋かぼちゃ　果実　ゆで　　,93
6332,（かぼちゃ類）　西洋かぼちゃ　果実　焼き　　,122
6050,（かぼちゃ類）　西洋かぼちゃ　果実　冷凍　　,83
6051,（かぼちゃ類）　そうめんかぼちゃ　果実　生　　,24
6052,からしな　葉　生　　　,26
6053,からしな　塩漬　　 　,36
6054,カリフラワー　花序　生　　　,27
6055,カリフラワー　花序　ゆで　　　,26
6056,かんぴょう　乾　　　,260
6057,かんぴょう　ゆで　　　,28
6058,きく　花びら　生　　　,27
6059,きく　花びら　ゆで　　　,23
6060,きく　菊のり　　　,292
6061,（キャベツ類）　キャベツ　結球葉　生　　,23
6062,（キャベツ類）　キャベツ　結球葉　ゆで　　,20
6333,（キャベツ類）　キャベツ　結球葉　油いため　　,81
6063,（キャベツ類）　グリーンボール　結球葉　生　　,20
6064,（キャベツ類）　レッドキャベツ　結球葉　生　　,30
6065,きゅうり　果実　生　　　,14
6066,きゅうり　漬物　塩漬　　,16
6067,きゅうり　漬物　しょうゆ漬　　,50
6068,きゅうり　漬物　ぬかみそ漬　　,27
6069,きゅうり　漬物　ピクルス　スイート型　,67
6070,きゅうり　漬物　ピクルス　サワー型　,12
6071,ぎょうじゃにんにく　葉　生　　　,34
6075,キンサイ　茎葉　生　　　,19
6076,キンサイ　茎葉　ゆで　　　,19
6077,クレソン　茎葉　生　　　,15
6078,くわい　塊茎　生　　　,126
6079,くわい　塊茎　ゆで　　　,128
6080,ケール　葉　生　　　,28
6081,コールラビ　球茎　生　　　,21
6082,コールラビ　球茎　ゆで　　　,21
6083,こごみ　若芽　生　　　,28
6084,ごぼう　根　生　　　,65
6085,ごぼう　根　ゆで　　　,58
6086,こまつな　葉　生　　　,14
6087,こまつな　葉　ゆで　　　,15
6088,ザーサイ 　漬物　　　,23
6089,さんとうさい　葉　生　　　,14
6090,さんとうさい　葉　ゆで　　　,16
6091,さんとうさい　塩漬　　　,20
6092,しかくまめ　若ざや　生　　　,20
6093,ししとう　果実　生　　　,27
6094,ししとう　果実　油いため　　　,55
6095,しそ　葉　生　　　,37
6096,しそ　実　生　　　,41
6097,じゅうろくささげ　若ざや　生　　　,24
6098,じゅうろくささげ　若ざや　ゆで　　　,30
6099,しゅんぎく　葉　生　　　,22
6100,しゅんぎく　葉　ゆで　　　,27
6101,じゅんさい　若葉　水煮びん詰　　　,5
6102,（しょうが類）　葉しょうが　根茎　生　　,11
6103,（しょうが類）　しょうが　根茎　生　　,30
6104,（しょうが類）　しょうが　漬物　酢漬　,19
6105,（しょうが類）　しょうが　漬物　甘酢漬　,51
6106,しろうり　果実　生　　　,15
6107,しろうり　漬物　塩漬　　,16
6108,しろうり　漬物　奈良漬　　,157
6109,ずいき　生ずいき　生　　　,16
6110,ずいき　生ずいき　ゆで　　　,12
6111,ずいき　干しずいき　乾　　　,246
6112,ずいき　干しずいき　ゆで　　　,13
6113,すぐきな　葉　生　　　,26
6114,すぐきな　根　生　　　,21
6115,すぐきな　すぐき漬　　　,34
6116,ズッキーニ　果実　生　　　,14
6117,せり　茎葉　生　　　,17
6118,せり　茎葉　ゆで　　　,18
6119,セロリ　葉柄　生　　　,15
6120,ぜんまい　生ぜんまい　若芽　生　　,29
6121,ぜんまい　生ぜんまい　若芽　ゆで　　,21
6122,ぜんまい　干しぜんまい　干し若芽　乾　　,293
