food_number,food_name,cal
04043,だいず　［豆腐・油揚げ類］　豆腐よう　　,189
04044,だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し　,126
04045,だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き　,139
04088,だいず　［豆腐・油揚げ類］　ろくじょう豆腐　　,347
04046,だいず　［納豆類］　糸引き納豆　　,200
04047,だいず　［納豆類］　挽きわり納豆　　,194
04048,だいず　［納豆類］　五斗納豆　　,227
04049,だいず　［納豆類］　寺納豆　　,271
04051,だいず　［その他］　おから　生　,111
04089,だいず　［その他］　おから　乾燥　,421
04052,だいず　［その他］　豆乳　豆乳　,46
04053,だいず　［その他］　豆乳　調製豆乳　,64
04054,だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー　,60
04055,だいず　［その他］　大豆たんぱく　粒状大豆たんぱく　　,360
04056,だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく　　,361
04057,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ　,388
04090,だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ　,388
04058,だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく　　,383
04059,だいず　［その他］　湯葉　生　　,231
04060,だいず　［その他］　湯葉　干し　乾　,530
04091,だいず　［その他］　湯葉　干し　湯戻し　,161
04061,だいず　［その他］　金山寺みそ　　　,256
04062,だいず　［その他］　ひしおみそ　　　,206
04063,だいず　［その他］　テンペ　　　,202
04064,つるあずき　全粒　乾　　　,348
04092,つるあずき　全粒　ゆで　　　,159
04065,ひよこまめ　全粒　乾　　　,374
04066,ひよこまめ　全粒　ゆで　　　,171
04067,ひよこまめ　全粒　フライ　味付け　　　,419
04068,べにばないんげん　全粒　乾　　　,332
04069,べにばないんげん　全粒　ゆで　　　,121
04070,らいまめ　全粒　乾　　　,351
04093,らいまめ　全粒　ゆで　　　,152
04071,りょくとう　全粒　乾　　　,354
04072,りょくとう　全粒　ゆで　　　,137
04073,レンズまめ　全粒　乾　　　,352
04094,レンズまめ　全粒　ゆで　　　,170
05001,アーモンド　乾　　　,587
05002,アーモンド　フライ 味付け　　　,606
05040,アーモンド　いり　無塩　　　,608
05003,あさ　乾　　　,463
05041,あまに　いり　,564
05004,えごま　乾　　　,544
05005,カシューナッツ　フライ　味付け　　　,576
05006,かぼちゃ　いり　味付け　　　,574
05007,かや　いり　　　,665
05008,ぎんなん　生　　　,171
05009,ぎんなん　ゆで　　　,174
05010,（くり類）　日本ぐり　生　　,164
05011,（くり類）　日本ぐり　ゆで　　,167
05012,（くり類）　日本ぐり　甘露煮　　,238
05013,（くり類）　中国ぐり　甘ぐり　　,222
05014,くるみ　いり　　　,674
05015,けし　乾　　　,567
05016,ココナッツ　ココナッツパウダー　　　　,668
05017,ごま　乾　　　,578
05018,ごま　いり　　　,599
05019,ごま　むき　　　,603
05042,ごま　ねり　　　,605
05020,しい　生　　　,252
05021,すいか　いり　味付け　　　,546
05022,とち　蒸し　　　,161
05023,はす　未熟　生　　　,85
05024,はす　成熟　乾　　　,344
05043,はす　成熟　ゆで　　　,133
05025,ひし　生　　　,190
05026,ピスタチオ　いり　味付け　　　,615
05027,ひまわり　フライ　味付け　　　,611
05028,ブラジルナッツ　フライ　味付け　　　,669
05029,ヘーゼルナッツ　フライ　味付け　　　,684
05030,ペカン　フライ　味付け　　　,702
05031,マカダミアナッツ　いり　味付け　　　,720
05032,まつ　生　　　,669
05033,まつ　いり　　　,690
05034,らっかせい　乾　大粒種　　,562
05044,らっかせい　乾　小粒種　　,562
05035,らっかせい　いり　大粒種　　,585
05045,らっかせい　いり　小粒種　　,585
05036,らっかせい　バターピーナッツ　　　,592
05037,らっかせい　ピーナッツバター　　　,640
06001,アーティチョーク　花らい　生　　　,48
06002,アーティチョーク　花らい　ゆで　　　,45
06003,あさつき　葉　生　　　,33
06004,あさつき　葉　ゆで　　　,39
06005,あしたば　茎葉　生　　　,33
06006,あしたば　茎葉　ゆで　　　,31
06007,アスパラガス　若茎　生　　　,22
06008,アスパラガス　若茎　ゆで　　　,24
06327,アスパラガス　若茎　油いため　　　,57
06009,アスパラガス　水煮缶詰　　　,22
06328,アロエ　葉　生　　　,3
06010,いんげんまめ　さやいんげん　若ざや　生　　,23
06011,いんげんまめ　さやいんげん　若ざや　ゆで　　,26
06012,（うど類）　うど　茎　生　　,18
06013,（うど類）　うど　茎　水さらし　　,14
06014,（うど類）　やまうど　茎　生　　,19
06015,えだまめ　生　　　,135
06016,えだまめ　ゆで　　　,134
06017,えだまめ　冷凍　　　,159
06018,エンダイブ　葉　生　　　,15
06019,（えんどう類）　トウミョウ　茎葉　生　　,27
06329,（えんどう類）　トウミョウ　芽ばえ　生　　,24
06330,（えんどう類）　トウミョウ　芽ばえ　ゆで　　,27
06331,（えんどう類）　トウミョウ　芽ばえ　油いため　　,82
06020,（えんどう類）　さやえんどう　若ざや　生　　,36
06021,（えんどう類）　さやえんどう　若ざや　ゆで　　,34
06022,（えんどう類）　スナップえんどう　若ざや　生　　,43
06023,（えんどう類）　グリンピース　生　　,93
06024,（えんどう類）　グリンピース　ゆで　　,110
06025,（えんどう類）　グリンピース　冷凍　　,98
06026,（えんどう類）　グリンピース　水煮缶詰　　,98
06027,おおさかしろな　葉　生　　　,13
06028,おおさかしろな　葉　ゆで　　　,17
06029,おおさかしろな　塩漬　　　,22
06030,おかひじき　茎葉　生　　　,17
06031,おかひじき　茎葉　ゆで　　　,17
06032,オクラ　果実　生　　　,30
06033,オクラ　果実　ゆで　　　,33
06034,かぶ　葉　生　　　,20
06035,かぶ　葉　ゆで　　　,22
06036,かぶ　根　皮つき　生　　　,20
06037,かぶ　根　皮つき　ゆで　　　,21
06038,かぶ　根　皮むき　生　　　,21
06039,かぶ　根　皮むき　ゆで　　　,22
06040,かぶ　漬物　塩漬　葉　,29
06041,かぶ　漬物　塩漬　根　皮つき　,23
06042,かぶ　漬物　塩漬　根　皮むき　,21
06043,かぶ　漬物　ぬかみそ漬　葉　,34
06044,かぶ　漬物　ぬかみそ漬　根　皮つき　,28
06045,かぶ　漬物　ぬかみそ漬　根　皮むき　,31
06046,（かぼちゃ類）　日本かぼちゃ　果実　生　　,49
06047,（かぼちゃ類）　日本かぼちゃ　果実　ゆで　　,60
06048,（かぼちゃ類）　西洋かぼちゃ　果実　生　　,91
06049,（かぼちゃ類）　西洋かぼちゃ　果実　ゆで　　,93
06332,（かぼちゃ類）　西洋かぼちゃ　果実　焼き　　,122
06050,（かぼちゃ類）　西洋かぼちゃ　果実　冷凍　　,83
06051,（かぼちゃ類）　そうめんかぼちゃ　果実　生　　,24
06052,からしな　葉　生　　　,26
06053,からしな　塩漬　　 　,36
06054,カリフラワー　花序　生　　　,27
06055,カリフラワー　花序　ゆで　　　,26
06056,かんぴょう　乾　　　,260
06057,かんぴょう　ゆで　　　,28
06058,きく　花びら　生　　　,27
06059,きく　花びら　ゆで　　　,23
06060,きく　菊のり　　　,292
06061,（キャベツ類）　キャベツ　結球葉　生　　,23
06062,（キャベツ類）　キャベツ　結球葉　ゆで　　,20
06333,（キャベツ類）　キャベツ　結球葉　油いため　　,81
06063,（キャベツ類）　グリーンボール　結球葉　生　　,20
06064,（キャベツ類）　レッドキャベツ　結球葉　生　　,30
06065,きゅうり　果実　生　　　,14
06066,きゅうり　漬物　塩漬　　,16
06067,きゅうり　漬物　しょうゆ漬　　,50
06068,きゅうり　漬物　ぬかみそ漬　　,27
06069,きゅうり　漬物　ピクルス　スイート型　,67
06070,きゅうり　漬物　ピクルス　サワー型　,12
06071,ぎょうじゃにんにく　葉　生　　　,34
06075,キンサイ　茎葉　生　　　,19
06076,キンサイ　茎葉　ゆで　　　,19
06077,クレソン　茎葉　生　　　,15
06078,くわい　塊茎　生　　　,126
06079,くわい　塊茎　ゆで　　　,128
06080,ケール　葉　生　　　,28
06081,コールラビ　球茎　生　　　,21
06082,コールラビ　球茎　ゆで　　　,21
06083,こごみ　若芽　生　　　,28
06084,ごぼう　根　生　　　,65
06085,ごぼう　根　ゆで　　　,58
06086,こまつな　葉　生　　　,14
06087,こまつな　葉　ゆで　　　,15
06088,ザーサイ 　漬物　　　,23
06089,さんとうさい　葉　生　　　,14
06090,さんとうさい　葉　ゆで　　　,16
06091,さんとうさい　塩漬　　　,20
06092,しかくまめ　若ざや　生　　　,20
06093,ししとう　果実　生　　　,27
06094,ししとう　果実　油いため　　　,55
06095,しそ　葉　生　　　,37
06096,しそ　実　生　　　,41
06097,じゅうろくささげ　若ざや　生　　　,24
06098,じゅうろくささげ　若ざや　ゆで　　　,30
06099,しゅんぎく　葉　生　　　,22
06100,しゅんぎく　葉　ゆで　　　,27
06101,じゅんさい　若葉　水煮びん詰　　　,5
06102,（しょうが類）　葉しょうが　根茎　生　　,11
06103,（しょうが類）　しょうが　根茎　生　　,30
06104,（しょうが類）　しょうが　漬物　酢漬　,19
06105,（しょうが類）　しょうが　漬物　甘酢漬　,51
